 Length  Method   Size  Ratio   Date    Time    CRC-32  Attr  Name
 170117  DeflatX 117821  31%  05-30-95  18:58  77dfd8b3 --w-  RIPMENUS.ZIP
  41899  DeflatX  11407  73%  08-09-95  06:04  279aa215 --w-  RIPOVL.C
   5417  DeflatX   1794  67%  06-25-95  08:03  7c864db5 --w-  RIPSPEED.C
   6739  DeflatX   1979  71%  04-25-95  19:33  ba5fa143 --w-  SHARE.C
    792  DeflatX    350  56%  04-25-95  19:33  92bb5ba9 --w-  SHARE.H
  29184  DeflatX  12128  59%  01-29-94  15:36  b41b0bff --w-  SHRNK.LIB
   3109  DeflatX   2076  34%  01-15-94  17:56  6b3fff23 --w-  SHRNKA.OBJ
   7583  DeflatX   2461  68%  09-04-94  08:30  9c84b0f3 --w-  SKELETON.C
  14019  DeflatX   3705  74%  04-25-95  19:33  c221a72a --w-  SR.C
   8070  DeflatX   2290  72%  04-25-95  19:33  6247e252 --w-  SRRCV.C
   6173  DeflatX   1990  68%  04-25-95  19:33  b11aa0d0 --w-  SRSEND.C
   8151  DeflatX   1970  76%  04-25-95  19:33  957a522c --w-  STRINGS.C
   1954  DeflatX    841  57%  04-25-95  19:33  25cb59b6 --w-  STRIP.C
  10766  DeflatX   3017  72%  04-25-95  19:33  3e187452 --w-  SUBACC.C
  20634  DeflatX   4837  77%  07-11-95  19:00  4beddfec --w-  SUBEDIT.C
  10697  DeflatX   2841  74%  04-25-95  19:33  e72f5e7b --w-  SUBREQ.C
   7732  DeflatX   2015  74%  04-25-95  19:33  d3ba2df5 --w-  SUBXTR.C
   1790  DeflatX    772  57%  04-25-95  19:33  3cd232cf --w-  SUBXTR.H
   7671  DeflatX   2353  70%  08-15-95  17:30  dd9da117 --w-  SUPPORT.LST
  19984  DeflatX   5333  74%  07-22-95  09:19  0b3badd9 --w-  SYSOPF.C
  13603  DeflatX   1685  88%  05-12-95  16:23  a01770c8 --w-  SYSOPLOG.STR
   7986  DeflatX   2031  75%  04-25-95  19:33  7fa72756 --w-  TEDIT.C
  23402  DeflatX   5143  79%  08-12-95  10:22  4127b4c9 --w-  UEDIT.C
   2092  DeflatX    914  57%  11-21-93  10:05  f70b928b --w-  UPGRADE.FRM
  41404  DeflatX  10007  76%  05-12-95  16:26  3f8398f0 --w-  UTILITY.C
   5365  DeflatX   2042  62%  04-21-95  06:37  02b4a39f --w-  UTILITY.LST
  39236  DeflatX  10850  73%  06-25-95  07:41  d484c855 --w-  VARDEC.H
   8721  DeflatX   2387  73%  02-06-95  21:02  05362a07 --w-  VARDEC1.H
   6333  DeflatX   2323  64%  04-25-95  19:33  0a48f112 --w-  VARS.H
